,query,value,query_type,state,date
0,barbie movie,100,top,AL,2023-07-01 2023-07-02
1,movie theater near me,77,top,AL,2023-07-01 2023-07-02
2,nefarious movie,35,top,AL,2023-07-01 2023-07-02
3,barbie movie 2023,33,top,AL,2023-07-01 2023-07-02
4,sound of freedom movie,30,top,AL,2023-07-01 2023-07-02
5,no hard feelings movie,27,top,AL,2023-07-01 2023-07-02
6,oppenheimer movie,19,top,AL,2023-07-01 2023-07-02
7,megan movie,18,top,AL,2023-07-01 2023-07-02
8,cullman movie theater,16,top,AL,2023-07-01 2023-07-02
9,cinnamon movie,11,top,AL,2023-07-01 2023-07-02
10,nefarious movie,87850,rising,AL,2023-07-01 2023-07-02
11,cullman movie theater,39500,rising,AL,2023-07-01 2023-07-02
12,barbie movie 2023,190,rising,AL,2023-07-01 2023-07-02
13,barbie movie,100,top,AZ,2023-07-01 2023-07-02
14,movie theater,99,top,AZ,2023-07-01 2023-07-02
15,movie theaters,68,top,AZ,2023-07-01 2023-07-02
16,mario movie,55,top,AZ,2023-07-01 2023-07-02
17,indiana jones movie,54,top,AZ,2023-07-01 2023-07-02
18,movie theaters near me,36,top,AZ,2023-07-01 2023-07-02
19,super mario movie,33,top,AZ,2023-07-01 2023-07-02
20,elemental movie,32,top,AZ,2023-07-01 2023-07-02
21,movie showtimes,29,top,AZ,2023-07-01 2023-07-02
22,no hard feelings,26,top,AZ,2023-07-01 2023-07-02
23,no hard feelings movie,23,top,AZ,2023-07-01 2023-07-02
24,movie times,21,top,AZ,2023-07-01 2023-07-02
25,sound of freedom movie,19,top,AZ,2023-07-01 2023-07-02
26,kraken movie,19,top,AZ,2023-07-01 2023-07-02
27,oppenheimer movie,18,top,AZ,2023-07-01 2023-07-02
28,barbie movie 2023,18,top,AZ,2023-07-01 2023-07-02
29,nimona movie,16,top,AZ,2023-07-01 2023-07-02
30,titanic movie,15,top,AZ,2023-07-01 2023-07-02
31,fnaf movie,15,top,AZ,2023-07-01 2023-07-02
32,the flash movie,13,top,AZ,2023-07-01 2023-07-02
33,past lives movie,13,top,AZ,2023-07-01 2023-07-02
34,my fault movie,12,top,AZ,2023-07-01 2023-07-02
35,megan movie,11,top,AZ,2023-07-01 2023-07-02
36,super mario bros movie,10,top,AZ,2023-07-01 2023-07-02
37,drive in movie,10,top,AZ,2023-07-01 2023-07-02
38,megan movie,48800,rising,AZ,2023-07-01 2023-07-02
39,elemental movie review,35850,rising,AZ,2023-07-01 2023-07-02
40,nimona movie,450,rising,AZ,2023-07-01 2023-07-02
41,movie theaters near me,190,rising,AZ,2023-07-01 2023-07-02
42,kraken movie,140,rising,AZ,2023-07-01 2023-07-02
43,drive in movie,110,rising,AZ,2023-07-01 2023-07-02
44,indiana jones movie,100,rising,AZ,2023-07-01 2023-07-02
45,no hard feelings,70,rising,AZ,2023-07-01 2023-07-02
46,super mario movie,50,rising,AZ,2023-07-01 2023-07-02
47,my fault movie,50,rising,AZ,2023-07-01 2023-07-02
48,nefarious movie,50,rising,AZ,2023-07-01 2023-07-02
49,movie theater,50,rising,AZ,2023-07-01 2023-07-02
50,jennifer lawrence new movie,40,rising,AZ,2023-07-01 2023-07-02
51,barbie movie,100,top,AR,2023-07-01 2023-07-02
52,mario movie,47,top,AR,2023-07-01 2023-07-02
53,elemental movie,47,top,AR,2023-07-01 2023-07-02
54,movie theater near me,31,top,AR,2023-07-01 2023-07-02
55,titanic movie,27,top,AR,2023-07-01 2023-07-02
56,elemental movie,170,rising,AR,2023-07-01 2023-07-02
57,titanic movie,60,rising,AR,2023-07-01 2023-07-02
58,movies,100,top,CA,2023-07-01 2023-07-02
59,movie theater,98,top,CA,2023-07-01 2023-07-02
60,barbie,74,top,CA,2023-07-01 2023-07-02
61,barbie movie,73,top,CA,2023-07-01 2023-07-02
62,movie theaters,40,top,CA,2023-07-01 2023-07-02
63,movie near me,39,top,CA,2023-07-01 2023-07-02
64,mario movie,37,top,CA,2023-07-01 2023-07-02
65,indiana jones movie,35,top,CA,2023-07-01 2023-07-02
66,past lives movie,23,top,CA,2023-07-01 2023-07-02
67,movie showtimes,23,top,CA,2023-07-01 2023-07-02
68,movie times,20,top,CA,2023-07-01 2023-07-02
69,old movie,18,top,CA,2023-07-01 2023-07-02
70,elemental movie,18,top,CA,2023-07-01 2023-07-02
71,super mario movie,18,top,CA,2023-07-01 2023-07-02
72,flash movie,17,top,CA,2023-07-01 2023-07-02
73,scary movie,14,top,CA,2023-07-01 2023-07-02
74,oppenheimer movie,13,top,CA,2023-07-01 2023-07-02
75,no hard feelings movie,13,top,CA,2023-07-01 2023-07-02
76,titanic movie,12,top,CA,2023-07-01 2023-07-02
77,fnaf movie,12,top,CA,2023-07-01 2023-07-02
78,movie theaters near me,12,top,CA,2023-07-01 2023-07-02
79,theaters near me,11,top,CA,2023-07-01 2023-07-02
80,barbie movie 2023,11,top,CA,2023-07-01 2023-07-02
81,indiana jones new movie,11,top,CA,2023-07-01 2023-07-02
82,movie theater near me,11,top,CA,2023-07-01 2023-07-02
83,book club movie,15250,rising,CA,2023-07-01 2023-07-02
84,annihilation movie,11400,rising,CA,2023-07-01 2023-07-02
85,unbreakable movie,11150,rising,CA,2023-07-01 2023-07-02
86,hypnotic movie,8200,rising,CA,2023-07-01 2023-07-02
87,monster truck movie,7800,rising,CA,2023-07-01 2023-07-02
88,champions movie,6800,rising,CA,2023-07-01 2023-07-02
89,pixels movie,6300,rising,CA,2023-07-01 2023-07-02
90,mud movie,6000,rising,CA,2023-07-01 2023-07-02
91,jezebel movie,5800,rising,CA,2023-07-01 2023-07-02
92,scariest movie on netflix,5700,rising,CA,2023-07-01 2023-07-02
93,sputnik movie,5600,rising,CA,2023-07-01 2023-07-02
94,anaconda movie,3900,rising,CA,2023-07-01 2023-07-02
95,brooklyn movie,2650,rising,CA,2023-07-01 2023-07-02
96,enemy movie,350,rising,CA,2023-07-01 2023-07-02
97,movie 43,300,rising,CA,2023-07-01 2023-07-02
98,warrior movie,250,rising,CA,2023-07-01 2023-07-02
99,the car movie,250,rising,CA,2023-07-01 2023-07-02
100,how long is the indiana jones movie,250,rising,CA,2023-07-01 2023-07-02
101,how long is indiana jones movie,200,rising,CA,2023-07-01 2023-07-02
102,how long is the new indiana jones movie,200,rising,CA,2023-07-01 2023-07-02
103,movie showtimes near me,190,rising,CA,2023-07-01 2023-07-02
104,dungeons and dragons movie,170,rising,CA,2023-07-01 2023-07-02
105,barbie movie trailer,170,rising,CA,2023-07-01 2023-07-02
106,lucy movie,150,rising,CA,2023-07-01 2023-07-02
107,nimona movie,140,rising,CA,2023-07-01 2023-07-02
108,movie theater,100,top,CO,2023-07-01 2023-07-02
109,barbie movie,75,top,CO,2023-07-01 2023-07-02
110,mario movie,46,top,CO,2023-07-01 2023-07-02
111,super mario movie,24,top,CO,2023-07-01 2023-07-02
112,drive in movie theater,19,top,CO,2023-07-01 2023-07-02
113,sound of freedom movie,17,top,CO,2023-07-01 2023-07-02
114,past lives movie,17,top,CO,2023-07-01 2023-07-02
115,elemental movie,16,top,CO,2023-07-01 2023-07-02
116,super mario bros movie,16,top,CO,2023-07-01 2023-07-02
117,no hard feelings movie,16,top,CO,2023-07-01 2023-07-02
118,movie theatre near me,16,top,CO,2023-07-01 2023-07-02
119,titanic movie,12,top,CO,2023-07-01 2023-07-02
120,oppenheimer,12,top,CO,2023-07-01 2023-07-02
121,movie theaters near me,11,top,CO,2023-07-01 2023-07-02
122,barbie movie 2023,11,top,CO,2023-07-01 2023-07-02
123,the car movie,11,top,CO,2023-07-01 2023-07-02
124,nimona movie,9,top,CO,2023-07-01 2023-07-02
125,oppenheimer movie,9,top,CO,2023-07-01 2023-07-02
126,dungeons and dragons movie,7,top,CO,2023-07-01 2023-07-02
127,megan movie,7,top,CO,2023-07-01 2023-07-02
128,jennifer lawrence new movie,6,top,CO,2023-07-01 2023-07-02
129,regal movie theaters,5,top,CO,2023-07-01 2023-07-02
130,barbie movie release date,4,top,CO,2023-07-01 2023-07-02
131,how long is the new indiana jones movie,3,top,CO,2023-07-01 2023-07-02
132,nimona movie,56850,rising,CO,2023-07-01 2023-07-02
133,dungeons and dragons movie,47250,rising,CO,2023-07-01 2023-07-02
134,regal movie theaters,29450,rising,CO,2023-07-01 2023-07-02
135,how long is the new indiana jones movie,16950,rising,CO,2023-07-01 2023-07-02
136,super mario movie,200,rising,CO,2023-07-01 2023-07-02
137,super mario bros movie,150,rising,CO,2023-07-01 2023-07-02
138,mario movie,110,rising,CO,2023-07-01 2023-07-02
139,the car movie,100,rising,CO,2023-07-01 2023-07-02
140,jennifer lawrence new movie,90,rising,CO,2023-07-01 2023-07-02
141,drive in movie theater,80,rising,CO,2023-07-01 2023-07-02
142,barbie movie 2023,70,rising,CO,2023-07-01 2023-07-02
143,sound of freedom movie,60,rising,CO,2023-07-01 2023-07-02
144,no hard feelings movie,50,rising,CO,2023-07-01 2023-07-02
145,megan movie,50,rising,CO,2023-07-01 2023-07-02
146,movie theater,100,top,CT,2023-07-01 2023-07-02
147,barbie movie,42,top,CT,2023-07-01 2023-07-02
148,elemental movie,21,top,CT,2023-07-01 2023-07-02
149,indiana jones,17,top,CT,2023-07-01 2023-07-02
150,barbie movie 2023,9,top,CT,2023-07-01 2023-07-02
151,oppenheimer movie,9,top,CT,2023-07-01 2023-07-02
152,movie theaters near me,9,top,CT,2023-07-01 2023-07-02
153,movies near me,9,top,CT,2023-07-01 2023-07-02
154,barbie movie release date,9,top,CT,2023-07-01 2023-07-02
155,manchester movie theater,8,top,CT,2023-07-01 2023-07-02
156,super mario movie,8,top,CT,2023-07-01 2023-07-02
157,the car movie,8,top,CT,2023-07-01 2023-07-02
158,southington movie theater,7,top,CT,2023-07-01 2023-07-02
159,amc plainville,7,top,CT,2023-07-01 2023-07-02
160,north haven movie theater,7,top,CT,2023-07-01 2023-07-02
161,southbury movie theater,6,top,CT,2023-07-01 2023-07-02
162,lisbon movie theater,6,top,CT,2023-07-01 2023-07-02
163,past lives movie,6,top,CT,2023-07-01 2023-07-02
164,drive in movie theater ct,5,top,CT,2023-07-01 2023-07-02
165,indiana jones 5,5,top,CT,2023-07-01 2023-07-02
166,blackberry movie,2,top,CT,2023-07-01 2023-07-02
167,movie theaters near me,83550,rising,CT,2023-07-01 2023-07-02
168,the car movie,76100,rising,CT,2023-07-01 2023-07-02
169,southbury movie theater,62450,rising,CT,2023-07-01 2023-07-02
170,indiana jones 5,46650,rising,CT,2023-07-01 2023-07-02
171,elemental movie,500,rising,CT,2023-07-01 2023-07-02
172,barbie movie release date,130,rising,CT,2023-07-01 2023-07-02
173,manchester movie theater,100,rising,CT,2023-07-01 2023-07-02
174,movies near me,100,rising,CT,2023-07-01 2023-07-02
175,movie theaters near me,100,top,DE,2023-07-01 2023-07-02
176,movie theaters near me,138250,rising,DE,2023-07-01 2023-07-02
177,movie theater,100,top,FL,2023-07-01 2023-07-02
178,movies,97,top,FL,2023-07-01 2023-07-02
179,barbie movie,58,top,FL,2023-07-01 2023-07-02
180,mario movie,27,top,FL,2023-07-01 2023-07-02
181,movie theater near me,25,top,FL,2023-07-01 2023-07-02
182,old movie,19,top,FL,2023-07-01 2023-07-02
183,elemental movie,17,top,FL,2023-07-01 2023-07-02
184,movie theaters near me,15,top,FL,2023-07-01 2023-07-02
185,new movies,14,top,FL,2023-07-01 2023-07-02
186,flash movie,14,top,FL,2023-07-01 2023-07-02
187,movie times,13,top,FL,2023-07-01 2023-07-02
188,super mario movie,13,top,FL,2023-07-01 2023-07-02
189,titanic movie,13,top,FL,2023-07-01 2023-07-02
190,sound of freedom,11,top,FL,2023-07-01 2023-07-02
191,titanic,11,top,FL,2023-07-01 2023-07-02
192,no hard feelings movie,10,top,FL,2023-07-01 2023-07-02
193,the car movie,10,top,FL,2023-07-01 2023-07-02
194,sound of freedom movie,10,top,FL,2023-07-01 2023-07-02
195,no hard feelings,9,top,FL,2023-07-01 2023-07-02
196,barbie movie 2023,9,top,FL,2023-07-01 2023-07-02
197,little mermaid,9,top,FL,2023-07-01 2023-07-02
198,past lives movie,9,top,FL,2023-07-01 2023-07-02
199,the flash movie,8,top,FL,2023-07-01 2023-07-02
200,oppenheimer,8,top,FL,2023-07-01 2023-07-02
201,new indiana jones movie,8,top,FL,2023-07-01 2023-07-02
202,movies out now,18800,rising,FL,2023-07-01 2023-07-02
203,annihilation movie,18700,rising,FL,2023-07-01 2023-07-02
204,sound of freedom movie near me,18500,rising,FL,2023-07-01 2023-07-02
205,drive in movie theater,18100,rising,FL,2023-07-01 2023-07-02
206,unbreakable movie,17750,rising,FL,2023-07-01 2023-07-02
207,strength of a woman movie,17050,rising,FL,2023-07-01 2023-07-02
208,tag movie,16100,rising,FL,2023-07-01 2023-07-02
209,65 movie,12300,rising,FL,2023-07-01 2023-07-02
210,huntsman movie,11800,rising,FL,2023-07-01 2023-07-02
211,covenant movie,11150,rising,FL,2023-07-01 2023-07-02
212,thank you for your service movie,10700,rising,FL,2023-07-01 2023-07-02
213,the selection movie,9850,rising,FL,2023-07-01 2023-07-02
214,sweet home alabama movie,9350,rising,FL,2023-07-01 2023-07-02
215,elements movie,9100,rising,FL,2023-07-01 2023-07-02
216,miraculous ladybug movie,7800,rising,FL,2023-07-01 2023-07-02
217,drive in movie theatre near me,6800,rising,FL,2023-07-01 2023-07-02
218,the falls movie theater,6800,rising,FL,2023-07-01 2023-07-02
219,jaws movie,250,rising,FL,2023-07-01 2023-07-02
220,freedom movie 2023,250,rising,FL,2023-07-01 2023-07-02
221,the car movie,250,rising,FL,2023-07-01 2023-07-02
222,studio movie grill,150,rising,FL,2023-07-01 2023-07-02
223,sounds of freedom movie,150,rising,FL,2023-07-01 2023-07-02
224,fall movie,150,rising,FL,2023-07-01 2023-07-02
225,best movies on netflix,120,rising,FL,2023-07-01 2023-07-02
226,new movies,100,rising,FL,2023-07-01 2023-07-02
227,movie theater,100,top,GA,2023-07-01 2023-07-02
228,barbie movie,60,top,GA,2023-07-01 2023-07-02
229,movie theater near me,27,top,GA,2023-07-01 2023-07-02
230,mario movie,22,top,GA,2023-07-01 2023-07-02
231,amc,21,top,GA,2023-07-01 2023-07-02
232,movie tavern,19,top,GA,2023-07-01 2023-07-02
233,flash movie,15,top,GA,2023-07-01 2023-07-02
234,studio movie grill,13,top,GA,2023-07-01 2023-07-02
235,elemental movie,13,top,GA,2023-07-01 2023-07-02
236,super mario movie,13,top,GA,2023-07-01 2023-07-02
237,titanic movie,11,top,GA,2023-07-01 2023-07-02
238,barbie movie 2023,11,top,GA,2023-07-01 2023-07-02
239,sound of freedom movie,10,top,GA,2023-07-01 2023-07-02
240,amc movie theater,9,top,GA,2023-07-01 2023-07-02
241,the flash movie,9,top,GA,2023-07-01 2023-07-02
242,the car movie,9,top,GA,2023-07-01 2023-07-02
243,oppenheimer movie,8,top,GA,2023-07-01 2023-07-02
244,past lives movie,7,top,GA,2023-07-01 2023-07-02
245,no hard feelings movie,7,top,GA,2023-07-01 2023-07-02
246,air movie,7,top,GA,2023-07-01 2023-07-02
247,drive in movie theater,7,top,GA,2023-07-01 2023-07-02
248,black clover movie,6,top,GA,2023-07-01 2023-07-02
249,cinnamon movie,6,top,GA,2023-07-01 2023-07-02
250,brothers movie,5,top,GA,2023-07-01 2023-07-02
251,movie tavern tucker,4,top,GA,2023-07-01 2023-07-02
252,annihilation movie,29000,rising,GA,2023-07-01 2023-07-02
253,studio movie grill marietta,14700,rising,GA,2023-07-01 2023-07-02
254,teen beach movie,10150,rising,GA,2023-07-01 2023-07-02
255,black clover movie,300,rising,GA,2023-07-01 2023-07-02
256,amc movie theater,250,rising,GA,2023-07-01 2023-07-02
257,dungeons and dragons movie,150,rising,GA,2023-07-01 2023-07-02
258,sound of freedom movie,110,rising,GA,2023-07-01 2023-07-02
259,brothers movie,80,rising,GA,2023-07-01 2023-07-02
260,the flash movie,80,rising,GA,2023-07-01 2023-07-02
261,avalon movie theater,40,rising,GA,2023-07-01 2023-07-02
262,super mario movie,100,top,HI,2023-07-01 2023-07-02
263,past lives movie,96,top,HI,2023-07-01 2023-07-02
264,barbie movie,100,top,ID,2023-07-01 2023-07-02
265,mario movie,84,top,ID,2023-07-01 2023-07-02
266,blackfoot movie mill,40,top,ID,2023-07-01 2023-07-02
267,blackfoot movie mill,40,rising,ID,2023-07-01 2023-07-02
268,movie theater,100,top,IL,2023-07-01 2023-07-02
269,barbie,45,top,IL,2023-07-01 2023-07-02
270,barbie movie,44,top,IL,2023-07-01 2023-07-02
271,mario movie,28,top,IL,2023-07-01 2023-07-02
272,elemental movie,21,top,IL,2023-07-01 2023-07-02
273,elemental,19,top,IL,2023-07-01 2023-07-02
274,super mario movie,14,top,IL,2023-07-01 2023-07-02
275,movie theater near me,13,top,IL,2023-07-01 2023-07-02
276,flash movie,11,top,IL,2023-07-01 2023-07-02
277,the car movie,11,top,IL,2023-07-01 2023-07-02
278,oppenheimer movie,10,top,IL,2023-07-01 2023-07-02
279,movie theaters near me,9,top,IL,2023-07-01 2023-07-02
280,past lives movie,9,top,IL,2023-07-01 2023-07-02
281,movies near me,8,top,IL,2023-07-01 2023-07-02
282,the barbie movie,8,top,IL,2023-07-01 2023-07-02
283,no hard feelings movie,8,top,IL,2023-07-01 2023-07-02
284,titanic movie,7,top,IL,2023-07-01 2023-07-02
285,mario bros movie,7,top,IL,2023-07-01 2023-07-02
286,super mario bros movie,6,top,IL,2023-07-01 2023-07-02
287,fnaf movie,6,top,IL,2023-07-01 2023-07-02
288,new jennifer lawrence movie,6,top,IL,2023-07-01 2023-07-02
289,mario movie 2023,4,top,IL,2023-07-01 2023-07-02
290,blackberry movie,4,top,IL,2023-07-01 2023-07-02
291,my fault movie,4,top,IL,2023-07-01 2023-07-02
292,batavia movie theater,3,top,IL,2023-07-01 2023-07-02
293,the car movie,92800,rising,IL,2023-07-01 2023-07-02
294,movies near me,69850,rising,IL,2023-07-01 2023-07-02
295,oakbrook movie theater,27650,rising,IL,2023-07-01 2023-07-02
296,fox lake movie theater,10700,rising,IL,2023-07-01 2023-07-02
297,new jennifer lawrence movie,600,rising,IL,2023-07-01 2023-07-02
298,mario movie 2023,180,rising,IL,2023-07-01 2023-07-02
299,julia louis dreyfus movie,110,rising,IL,2023-07-01 2023-07-02
300,blackberry movie,100,rising,IL,2023-07-01 2023-07-02
301,elemental movie,70,rising,IL,2023-07-01 2023-07-02
302,elemental,50,rising,IL,2023-07-01 2023-07-02
303,movie theaters near me,50,rising,IL,2023-07-01 2023-07-02
304,movie theater near me,40,rising,IL,2023-07-01 2023-07-02
305,movie theater,100,top,IN,2023-07-01 2023-07-02
306,barbie movie,43,top,IN,2023-07-01 2023-07-02
307,mario movie,34,top,IN,2023-07-01 2023-07-02
308,movie theaters near me,19,top,IN,2023-07-01 2023-07-02
309,super mario movie,17,top,IN,2023-07-01 2023-07-02
310,new indiana jones movie,14,top,IN,2023-07-01 2023-07-02
311,movie theater near me,11,top,IN,2023-07-01 2023-07-02
312,fnaf movie,11,top,IN,2023-07-01 2023-07-02
313,studio movie grill,10,top,IN,2023-07-01 2023-07-02
314,elemental movie,10,top,IN,2023-07-01 2023-07-02
315,the car movie,10,top,IN,2023-07-01 2023-07-02
316,drive in movie theater,9,top,IN,2023-07-01 2023-07-02
317,titanic movie,8,top,IN,2023-07-01 2023-07-02
318,past lives movie,7,top,IN,2023-07-01 2023-07-02
319,jennifer lawrence new movie,4,top,IN,2023-07-01 2023-07-02
320,sound of freedom movie,4,top,IN,2023-07-01 2023-07-02
321,barbie movie 2023,3,top,IN,2023-07-01 2023-07-02
322,past lives movie,56300,rising,IN,2023-07-01 2023-07-02
323,jennifer lawrence new movie,32850,rising,IN,2023-07-01 2023-07-02
324,studio movie grill,250,rising,IN,2023-07-01 2023-07-02
325,the car movie,200,rising,IN,2023-07-01 2023-07-02
326,new indiana jones movie,50,rising,IN,2023-07-01 2023-07-02
327,barbie movie,100,top,IA,2023-07-01 2023-07-02
328,mario movie,99,top,IA,2023-07-01 2023-07-02
329,no hard feelings movie,21,top,IA,2023-07-01 2023-07-02
330,oppenheimer movie,21,top,IA,2023-07-01 2023-07-02
331,oppenheimer movie,130,rising,IA,2023-07-01 2023-07-02
332,mario movie,110,rising,IA,2023-07-01 2023-07-02
333,barbie movie,40,rising,IA,2023-07-01 2023-07-02
334,barbie movie,100,top,KS,2023-07-01 2023-07-02
335,mario movie,60,top,KS,2023-07-01 2023-07-02
336,no hard feelings,41,top,KS,2023-07-01 2023-07-02
337,jennifer lawrence new movie,28,top,KS,2023-07-01 2023-07-02
338,no hard feelings,250,rising,KS,2023-07-01 2023-07-02
339,barbie movie,130,rising,KS,2023-07-01 2023-07-02
340,jennifer lawrence new movie,70,rising,KS,2023-07-01 2023-07-02
341,mario movie,50,rising,KS,2023-07-01 2023-07-02
342,movie theater,100,top,KY,2023-07-01 2023-07-02
343,barbie movie,46,top,KY,2023-07-01 2023-07-02
344,mario movie,25,top,KY,2023-07-01 2023-07-02
345,movie theaters near me,15,top,KY,2023-07-01 2023-07-02
346,movie tavern,12,top,KY,2023-07-01 2023-07-02
347,the car movie,11,top,KY,2023-07-01 2023-07-02
348,no hard feelings movie,11,top,KY,2023-07-01 2023-07-02
349,elemental movie,10,top,KY,2023-07-01 2023-07-02
350,movie theater near me,10,top,KY,2023-07-01 2023-07-02
351,super mario movie,8,top,KY,2023-07-01 2023-07-02
352,oppenheimer movie,6,top,KY,2023-07-01 2023-07-02
353,jennifer lawrence new movie,4,top,KY,2023-07-01 2023-07-02
354,the car movie,94250,rising,KY,2023-07-01 2023-07-02
355,movie theater near me,190,rising,KY,2023-07-01 2023-07-02
356,movie theaters near me,100,rising,KY,2023-07-01 2023-07-02
357,movie tavern,60,rising,KY,2023-07-01 2023-07-02
358,barbie movie,100,top,LA,2023-07-01 2023-07-02
359,movie tavern,83,top,LA,2023-07-01 2023-07-02
360,mario movie,68,top,LA,2023-07-01 2023-07-02
361,movie theater near me,27,top,LA,2023-07-01 2023-07-02
362,movie tavern baton rouge,24,top,LA,2023-07-01 2023-07-02
363,titanic movie,24,top,LA,2023-07-01 2023-07-02
364,barbie movie release date,23,top,LA,2023-07-01 2023-07-02
365,super mario movie,22,top,LA,2023-07-01 2023-07-02
366,movie tavern covington,19,top,LA,2023-07-01 2023-07-02
367,elemental movie,19,top,LA,2023-07-01 2023-07-02
368,barbie movie release date,90900,rising,LA,2023-07-01 2023-07-02
369,movie tavern baton rouge,90,rising,LA,2023-07-01 2023-07-02
370,titanic movie,80,rising,LA,2023-07-01 2023-07-02
371,mario movie,50,rising,LA,2023-07-01 2023-07-02
372,barbie movie,100,top,ME,2023-07-01 2023-07-02
373,movie theaters near me,41,top,ME,2023-07-01 2023-07-02
374,barbie movie 2023,28,top,ME,2023-07-01 2023-07-02
375,movie theater near me,26,top,ME,2023-07-01 2023-07-02
376,movie theaters near me,159250,rising,ME,2023-07-01 2023-07-02
377,barbie movie 2023,108150,rising,ME,2023-07-01 2023-07-02
378,movie theater near me,100800,rising,ME,2023-07-01 2023-07-02
379,barbie movie,100,top,MD,2023-07-01 2023-07-02
380,mario movie,51,top,MD,2023-07-01 2023-07-02
381,elemental movie,28,top,MD,2023-07-01 2023-07-02
382,titanic movie,27,top,MD,2023-07-01 2023-07-02
383,movie theatres near me,26,top,MD,2023-07-01 2023-07-02
384,flash movie,25,top,MD,2023-07-01 2023-07-02
385,super mario movie,23,top,MD,2023-07-01 2023-07-02
386,movie theater near me,21,top,MD,2023-07-01 2023-07-02
387,no hard feelings movie,16,top,MD,2023-07-01 2023-07-02
388,barbie movie 2023,15,top,MD,2023-07-01 2023-07-02
389,oppenheimer movie,14,top,MD,2023-07-01 2023-07-02
390,past lives movie,14,top,MD,2023-07-01 2023-07-02
391,the car movie,12,top,MD,2023-07-01 2023-07-02
392,megan movie,8,top,MD,2023-07-01 2023-07-02
393,drive in movie near me,6,top,MD,2023-07-01 2023-07-02
394,when does the barbie movie come out,6,top,MD,2023-07-01 2023-07-02
395,the car movie,55650,rising,MD,2023-07-01 2023-07-02
396,movie theatres near me,550,rising,MD,2023-07-01 2023-07-02
397,movie theater near me,250,rising,MD,2023-07-01 2023-07-02
398,super mario movie,170,rising,MD,2023-07-01 2023-07-02
399,flash movie,50,rising,MD,2023-07-01 2023-07-02
400,movie theater,100,top,MA,2023-07-01 2023-07-02
401,barbie movie,69,top,MA,2023-07-01 2023-07-02
402,mario movie,30,top,MA,2023-07-01 2023-07-02
403,elemental movie,23,top,MA,2023-07-01 2023-07-02
404,movie theaters near me,20,top,MA,2023-07-01 2023-07-02
405,titanic movie,17,top,MA,2023-07-01 2023-07-02
406,barbie movie 2023,13,top,MA,2023-07-01 2023-07-02
407,past lives movie,13,top,MA,2023-07-01 2023-07-02
408,oppenheimer movie,12,top,MA,2023-07-01 2023-07-02
409,no hard feelings movie,11,top,MA,2023-07-01 2023-07-02
410,titanic,10,top,MA,2023-07-01 2023-07-02
411,super mario movie,10,top,MA,2023-07-01 2023-07-02
412,jaws movie,9,top,MA,2023-07-01 2023-07-02
413,drive in movie theater,8,top,MA,2023-07-01 2023-07-02
414,the flash movie,7,top,MA,2023-07-01 2023-07-02
415,movie theatre near me,6,top,MA,2023-07-01 2023-07-02
416,nimona movie,6,top,MA,2023-07-01 2023-07-02
417,missing movie,6,top,MA,2023-07-01 2023-07-02
418,super mario bros movie,5,top,MA,2023-07-01 2023-07-02
419,sound of freedom movie,5,top,MA,2023-07-01 2023-07-02
420,jezebel movie,5,top,MA,2023-07-01 2023-07-02
421,dungeons and dragons movie,4,top,MA,2023-07-01 2023-07-02
422,when does barbie movie come out,4,top,MA,2023-07-01 2023-07-02
423,woburn movie theater,4,top,MA,2023-07-01 2023-07-02
424,wes anderson new movie,4,top,MA,2023-07-01 2023-07-02
425,jaws movie,66850,rising,MA,2023-07-01 2023-07-02
426,jezebel movie,34800,rising,MA,2023-07-01 2023-07-02
427,dungeons and dragons movie,33450,rising,MA,2023-07-01 2023-07-02
428,wes anderson new movie,28100,rising,MA,2023-07-01 2023-07-02
429,afwaah movie,24250,rising,MA,2023-07-01 2023-07-02
430,regal cinemas,16300,rising,MA,2023-07-01 2023-07-02
431,elemental movie,250,rising,MA,2023-07-01 2023-07-02
432,no hard feelings movie,180,rising,MA,2023-07-01 2023-07-02
433,movie theaters near me,120,rising,MA,2023-07-01 2023-07-02
434,woburn movie theater,110,rising,MA,2023-07-01 2023-07-02
435,movie theatre near me,80,rising,MA,2023-07-01 2023-07-02
436,missing movie,50,rising,MA,2023-07-01 2023-07-02
437,titanic movie,50,rising,MA,2023-07-01 2023-07-02
438,nimona movie,40,rising,MA,2023-07-01 2023-07-02
439,movie theater,100,top,MI,2023-07-01 2023-07-02
440,barbie movie,56,top,MI,2023-07-01 2023-07-02
441,mario movie,48,top,MI,2023-07-01 2023-07-02
442,movie theaters near me,32,top,MI,2023-07-01 2023-07-02
443,super mario movie,27,top,MI,2023-07-01 2023-07-02
444,emagine,17,top,MI,2023-07-01 2023-07-02
445,flash movie,16,top,MI,2023-07-01 2023-07-02
446,elemental movie,15,top,MI,2023-07-01 2023-07-02
447,movie theater near me,12,top,MI,2023-07-01 2023-07-02
448,titanic movie,11,top,MI,2023-07-01 2023-07-02
449,fnaf movie,10,top,MI,2023-07-01 2023-07-02
450,sound of freedom movie,10,top,MI,2023-07-01 2023-07-02
451,movies near me,10,top,MI,2023-07-01 2023-07-02
452,the flash movie,10,top,MI,2023-07-01 2023-07-02
453,dungeons and dragons movie,9,top,MI,2023-07-01 2023-07-02
454,barbie movie 2023,9,top,MI,2023-07-01 2023-07-02
455,no hard feelings movie,9,top,MI,2023-07-01 2023-07-02
